Country Name,Country Code,Indicator Name,Indicator Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
United Kingdom,GBR,"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,37.0885086958394,37.0312735944336,35.6103645988813,35.1017423957149,35.8528054032025,36.6030996824291,37.308584060242,37.0236502731002,38.5676343974833,35.5260107442739,36.0842210629026,,
United Kingdom,GBR,Cash surplus/deficit (% of GDP),GC.BAL.CASH.GD.ZS,3.89728635672936,0.75335494460885,-1.97857194326403,-3.51276970884993,-3.19781711686409,-3.04044475770367,-2.7395873104218,-2.69410722467441,-4.71250878772127,-10.9806022414458,-10.0426232928693,,
United Kingdom,GBR,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,2.3867079388947,2.40244708185489,2.46073902143266,2.52325482407602,2.45165797549839,2.41833640013649,2.35142785961432,2.34585956995183,2.48941675326215,2.66720904771949,2.56808955725562,2.59461323905451,
United Kingdom,GBR,Military expenditure (current LCU),MS.MIL.XPND.CN,23301000000,24544000000,26462000000,28751000000,29478000000,30333000000,31241000000,32978000000,35695000000,37177000000,37590000000,39116000000,
United Kingdom,GBR,Military expenditure (% of central government expenditure),MS.MIL.XPND.ZS,6.59073037998314,6.55366507524539,6.53765289811569,6.50004521613312,6.26347918654238,5.87499297898343,5.85214990315414,5.88309800108821,5.76029615619851,5.75687846090953,5.62060679825775,,
Pakistan,PAK,"Population, total",SP.POP.TOTL,144522192,147557907,150407242,153139895,155860066,158645463,161513324,164445596,167442258,170494367,173593383,176745364,
Pakistan,PAK,Population growth (annual %),SP.POP.GROW,2.28233420573116,2.07876149518724,1.9125873385074,1.80052880853887,1.76067418346518,1.77133282062547,1.79157207291049,1.79921512924919,1.80587713743074,1.8063694580201,1.80134270857225,1.7994390155137,
Pakistan,PAK,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,67666511033.6717,70146203759.2717,74413653156.6293,82969795338.2468,96715345436.2335,112941080510.096,126336461849.915,140137818939.187,156722434706.422,169593513727.121,181967397403.119,198004342497.127,
Pakistan,PAK,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,470,480,490,540,620,710,780,850,940,990,1050,1120,
Pakistan,PAK,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,233617638231.622,243549893173.908,260210851439.399,285723570779.202,312628312125.999,347301061677.141,380270124249.372,412928478264.609,429731310344.804,454056035195.746,478568108501.053,507202815981.334,
Pakistan,PAK,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,1620,1650,1730,1870,2010,2190,2350,2510,2570,2660,2760,2870,
Pakistan,PAK,GDP (current US$),NY.GDP.MKTP.CD,73952374969.7995,72309738921.3329,72306820396.2325,83244801092.7096,97977766197.6724,109600000000,127500000000,143171182643.097,163891692022.271,161819031346.249,176477528501.874,210216197942.471,
Pakistan,PAK,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4.26008801093786,1.98248403273405,3.22442997251895,4.84632093584128,7.36857135820806,7.66730427253273,6.17754203575898,5.68311625774038,1.59598083077823,3.59535520966692,3.5468053775321,2.95586570094272,
Pakistan,PAK,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,24.891150552165,7.89115522677946,2.46309288560724,4.43839748966803,7.74924724231751,7.02646669647129,10.4602802058188,7.65308686166289,16.2445146207494,19.9124493906983,12.3592555710526,18.3164069925281,
Pakistan,PAK,"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,13.886162738091,12.7103834248682,13.9033708884634,14.3893898821244,13.4912189881182,12.9985897988579,13.3986426968709,14.4697911577841,13.4274319522006,14.0176413244024,13.8610680474072,12.3989629826554,
Pakistan,PAK,Cash surplus/deficit (% of GDP),GC.BAL.CASH.GD.ZS,-4.08642091146859,-3.74814157101651,-2.85652107709245,-2.88341159985298,-1.95162554205419,-3.20278433953631,-4.22952026083517,-4.17341989923449,-7.4366481821377,-4.75931759759597,-5.01060211501893,-6.48209040035832,
Pakistan,PAK,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,4.02497470669304,4.03812656581327,4.22220096149398,4.24558950933291,4.11305220385138,4.04628955248038,3.76482070205379,3.57430819553126,3.42679736009685,3.23797853314543,3.24873676712677,3.00616163483374,
Pakistan,PAK,Military expenditure (current LCU),MS.MIL.XPND.CN,154000000000,170000000000,188000000000,207000000000,232000000000,263000000000,287000000000,310000000000,351000000000,412000000000,482000000000,543000000000,
Pakistan,PAK,Military expenditure (% of central government expenditure),MS.MIL.XPND.ZS,23.4185627085241,24.843195594863,24.9462593880205,25.2276890339989,28.4947524211328,27.6690944631301,24.6918891015852,21.8992282288116,18.3897784267466,19.2755481717938,18.5257998667834,16.8674661369309,
