"OID","Country or Area","Year","Description","Magnitude","Value"
"91467R..ZF...","ALBANIA","2008","UNEMPLOYMENT RATE","PERCENT PER ANNU","12.75"
"91467C..ZF...","ALBANIA","2008","UNEMPLOYMENT (IN THOUSANDS)","THOUSANDS","140599"
"91467D..ZF...","ALBANIA","2008","LABOR FORCE (IN THOUSANDS)","THOUSANDS","1102890"
"91467E..ZF...","ALBANIA","2008","EMPLOYMENT(IN THOUSANDS)","THOUSANDS","962293"
"91467R..ZF...","ALBANIA","2007","UNEMPLOYMENT RATE","PERCENT PER ANNU","13.36"
"91467C..ZF...","ALBANIA","2007","UNEMPLOYMENT (IN THOUSANDS)","THOUSANDS","144458"
"91467D..ZF...","ALBANIA","2007","LABOR FORCE (IN THOUSANDS)","THOUSANDS","1079570"
"91467E..ZF...","ALBANIA","2007","EMPLOYMENT(IN THOUSANDS)","THOUSANDS","935116"
"91467R..ZF...","ALBANIA","2006","UNEMPLOYMENT RATE","PERCENT PER ANNU","13.9"
"91467C..ZF...","ALBANIA","2006","UNEMPLOYMENT (IN THOUSANDS)","THOUSANDS","150332"
"91467D..ZF...","ALBANIA","2006","LABOR FORCE (IN THOUSANDS)","THOUSANDS","1083260"
"91467E..ZF...","ALBANIA","2006","EMPLOYMENT(IN THOUSANDS)","THOUSANDS","932929"
"91467R..ZF...","ALBANIA","2005","UNEMPLOYMENT RATE","PERCENT PER ANNU","14.3"
"91467C..ZF...","ALBANIA","2005","UNEMPLOYMENT (IN THOUSANDS)","THOUSANDS","154950"
"91467D..ZF...","ALBANIA","2005","LABOR FORCE (IN THOUSANDS)","THOUSANDS","1086250"
"91467E..ZF...","ALBANIA","2005","EMPLOYMENT(IN THOUSANDS)","THOUSANDS","931300"
"91467R..ZF...","ALBANIA","2004","UNEMPLOYMENT RATE","PERCENT PER ANNU","14.75"
"91467C..ZF...","ALBANIA","2004","UNEMPLOYMENT (IN THOUSANDS)","THOUSANDS","159000"
"91467D..ZF...","ALBANIA","2004","LABOR FORCE (IN THOUSANDS)","THOUSANDS","1090000"
"91467E..ZF...","ALBANIA","2004","EMPLOYMENT(IN THOUSANDS)","THOUSANDS","931000"
"91467R..ZF...","ALBANIA","2003","UNEMPLOYMENT RATE","PERCENT PER ANNU","15.18"
"91467C..ZF...","ALBANIA","2003","UNEMPLOYMENT (IN THOUSANDS)","THOUSANDS","163000"
"91467D..ZF...","ALBANIA","2003","LABOR FORCE (IN THOUSANDS)","THOUSANDS","1089000"
"91467E..ZF...","ALBANIA","2003","EMPLOYMENT(IN THOUSANDS)","THOUSANDS","926000"
"91467R..ZF...","ALBANIA","2002","UNEMPLOYMENT RATE","PERCENT PER ANNU","15.8"
"91467C..ZF...","ALBANIA","2002","UNEMPLOYMENT (IN THOUSANDS)","THOUSANDS","172390"
"91467D..ZF...","ALBANIA","2002","LABOR FORCE (IN THOUSANDS)","THOUSANDS","1092490"
"91467E..ZF...","ALBANIA","2002","EMPLOYMENT(IN THOUSANDS)","THOUSANDS","920100"
"91467R..ZF...","ALBANIA","2001","UNEMPLOYMENT RATE","PERCENT PER ANNU","16.4"
"91467C..ZF...","ALBANIA","2001","UNEMPLOYMENT (IN THOUSANDS)","THOUSANDS","180510"
"91467D..ZF...","ALBANIA","2001","LABOR FORCE (IN THOUSANDS)","THOUSANDS","1101080"
"91467E..ZF...","ALBANIA","2001","EMPLOYMENT(IN THOUSANDS)","THOUSANDS","920570"
"91467R..ZF...","ALBANIA","2000","UNEMPLOYMENT RATE","PERCENT PER ANNU","16.8"
"91467C..ZF...","ALBANIA","2000","UNEMPLOYMENT (IN THOUSANDS)","THOUSANDS","215090"
"91467D..ZF...","ALBANIA","2000","LABOR FORCE (IN THOUSANDS)","THOUSANDS","1283090"
"91467E..ZF...","ALBANIA","2000","EMPLOYMENT(IN THOUSANDS)","THOUSANDS","1068000"
"91467R..ZF...","ALBANIA","1999","UNEMPLOYMENT RATE","PERCENT PER ANNU","18.4"
"91467C..ZF...","ALBANIA","1999","UNEMPLOYMENT (IN THOUSANDS)","THOUSANDS","239790"
"91467D..ZF...","ALBANIA","1999","LABOR FORCE (IN THOUSANDS)","THOUSANDS","1304890"
"91467E..ZF...","ALBANIA","1999","EMPLOYMENT(IN THOUSANDS)","THOUSANDS","1065100"
"91467R..ZF...","ALBANIA","1998","UNEMPLOYMENT RATE","PERCENT PER ANNU","17.7"
"91467C..ZF...","ALBANIA","1998","UNEMPLOYMENT (IN THOUSANDS)","THOUSANDS","235040"
"91467D..ZF...","ALBANIA","1998","LABOR FORCE (IN THOUSANDS)","THOUSANDS","1320140"
"91467E..ZF...","ALBANIA","1998","EMPLOYMENT(IN THOUSANDS)","THOUSANDS","1085100"
"91467R..ZF...","ALBANIA","1997","UNEMPLOYMENT RATE","PERCENT PER ANNU","14.9"
"91467C..ZF...","ALBANIA","1997","UNEMPLOYMENT (IN THOUSANDS)","THOUSANDS","193530"
"91467D..ZF...","ALBANIA","1997","LABOR FORCE (IN THOUSANDS)","THOUSANDS","1301210"
"91467E..ZF...","ALBANIA","1997","EMPLOYMENT(IN THOUSANDS)","THOUSANDS","1107680"
"91467R..ZF...","ALBANIA","1996","UNEMPLOYMENT RATE","PERCENT PER ANNU","12.3"
"91467C..ZF...","ALBANIA","1996","UNEMPLOYMENT (IN THOUSANDS)","THOUSANDS","158160"
"91467D..ZF...","ALBANIA","1996","LABOR FORCE (IN THOUSANDS)","THOUSANDS","1273920"
"91467E..ZF...","ALBANIA","1996","EMPLOYMENT(IN THOUSANDS)","THOUSANDS","1115760"
"91467R..ZF...","ALBANIA","1995","UNEMPLOYMENT RATE","PERCENT PER ANNU","12.9"
"91467C..ZF...","ALBANIA","1995","UNEMPLOYMENT (IN THOUSANDS)","THOUSANDS","171000"
"91467D..ZF...","ALBANIA","1995","LABOR FORCE (IN THOUSANDS)","THOUSANDS","1308830"
"91467E..ZF...","ALBANIA","1995","EMPLOYMENT(IN THOUSANDS)","THOUSANDS","1137830"
"91467R..ZF...","ALBANIA","1994","UNEMPLOYMENT RATE","PERCENT PER ANNU","18"
"91467C..ZF...","ALBANIA","1994","UNEMPLOYMENT (IN THOUSANDS)","THOUSANDS","261850"
"91467D..ZF...","ALBANIA","1994","LABOR FORCE (IN THOUSANDS)","THOUSANDS","1423400"
"91467E..ZF...","ALBANIA","1994","EMPLOYMENT(IN THOUSANDS)","THOUSANDS","1161550"
"91467R..ZF...","ALBANIA","1993","UNEMPLOYMENT RATE","PERCENT PER ANNU","22"
"91467C..ZF...","ALBANIA","1993","UNEMPLOYMENT (IN THOUSANDS)","THOUSANDS","301290"
"91467D..ZF...","ALBANIA","1993","LABOR FORCE (IN THOUSANDS)","THOUSANDS","1347210"
"91467E..ZF...","ALBANIA","1993","EMPLOYMENT(IN THOUSANDS)","THOUSANDS","1045920"
"91467E..ZF...","ALBANIA","1992","EMPLOYMENT(IN THOUSANDS)","THOUSANDS","1094820"
"91467R..ZF...","ALBANIA","1991","UNEMPLOYMENT RATE","PERCENT PER ANNU","9.1"
"91467C..ZF...","ALBANIA","1991","UNEMPLOYMENT (IN THOUSANDS)","THOUSANDS","139800"
"91467D..ZF...","ALBANIA","1991","LABOR FORCE (IN THOUSANDS)","THOUSANDS","1543890"
"91467E..ZF...","ALBANIA","1991","EMPLOYMENT(IN THOUSANDS)","THOUSANDS","1404090"
"91467R..ZF...","ALBANIA","1990","UNEMPLOYMENT RATE","PERCENT PER ANNU","9.5"
"91467C..ZF...","ALBANIA","1990","UNEMPLOYMENT (IN THOUSANDS)","THOUSANDS","150700"
"91467D..ZF...","ALBANIA","1990","LABOR FORCE (IN THOUSANDS)","THOUSANDS","1587700"
"91467E..ZF...","ALBANIA","1990","EMPLOYMENT(IN THOUSANDS)","THOUSANDS","1437000"
"91467R..ZF...","ALBANIA","1989","UNEMPLOYMENT RATE","PERCENT PER ANNU","7.3"
"91467C..ZF...","ALBANIA","1989","UNEMPLOYMENT (IN THOUSANDS)","THOUSANDS","113400"
"91467D..ZF...","ALBANIA","1989","LABOR FORCE (IN THOUSANDS)","THOUSANDS","1544400"
"91467E..ZF...","ALBANIA","1989","EMPLOYMENT(IN THOUSANDS)","THOUSANDS","1431000"
"91467R..ZF...","ALBANIA","1988","UNEMPLOYMENT RATE","PERCENT PER ANNU","7"
"91467C..ZF...","ALBANIA","1988","UNEMPLOYMENT (IN THOUSANDS)","THOUSANDS","105800"
"91467D..ZF...","ALBANIA","1988","LABOR FORCE (IN THOUSANDS)","THOUSANDS","1510800"
"91467E..ZF...","ALBANIA","1988","EMPLOYMENT(IN THOUSANDS)","THOUSANDS","1405000"
"91467R..ZF...","ALBANIA","1987","UNEMPLOYMENT RATE","PERCENT PER ANNU","6.1"
"91467C..ZF...","ALBANIA","1987","UNEMPLOYMENT (IN THOUSANDS)","THOUSANDS","89400"
"91467D..ZF...","ALBANIA","1987","LABOR FORCE (IN THOUSANDS)","THOUSANDS","1470400"
"91467E..ZF...","ALBANIA","1987","EMPLOYMENT(IN THOUSANDS)","THOUSANDS","1381000"
"91467R..ZF...","ALBANIA","1986","UNEMPLOYMENT RATE","PERCENT PER ANNU","6.4"
"91467C..ZF...","ALBANIA","1986","UNEMPLOYMENT (IN THOUSANDS)","THOUSANDS","92000"
"91467D..ZF...","ALBANIA","1986","LABOR FORCE (IN THOUSANDS)","THOUSANDS","1433000"
"91467E..ZF...","ALBANIA","1986","EMPLOYMENT(IN THOUSANDS)","THOUSANDS","1341000"
"91467E..ZF...","ALBANIA","1985","EMPLOYMENT(IN THOUSANDS)","THOUSANDS","1298000"
"91467E..ZF...","ALBANIA","1984","EMPLOYMENT(IN THOUSANDS)","THOUSANDS","1279000"
"91467E..ZF...","ALBANIA","1983","EMPLOYMENT(IN THOUSANDS)","THOUSANDS","1252000"
"91467E..ZF...","ALBANIA","1982","EMPLOYMENT(IN THOUSANDS)","THOUSANDS","1216000"
"91467E..ZF...","ALBANIA","1981","EMPLOYMENT(IN THOUSANDS)","THOUSANDS","1161000"
"91467E..ZF...","ALBANIA","1980","EMPLOYMENT(IN THOUSANDS)","THOUSANDS","1122000"
"61267R..ZF...","ALGERIA","2007","UNEMPLOYMENT RATE","PERCENT PER ANNU","11.8"
"61267C..ZF...","ALGERIA","2007","UNEMPLOYMENT","THOUSANDS","1240000"
"61267D..ZF...","ALGERIA","2007","LABOUR FORCE (IN THOUSANDS)","THOUSANDS","10500000"
"61267E..ZF...","ALGERIA","2007","EMPLOYMENT","THOUSANDS","9270000"
"61267R..ZF...","ALGERIA","2006","UNEMPLOYMENT RATE","PERCENT PER ANNU","12.3"
"61267C..ZF...","ALGERIA","2006","UNEMPLOYMENT","THOUSANDS","1240840"
"61267D..ZF...","ALGERIA","2006","LABOUR FORCE (IN THOUSANDS)","THOUSANDS","10110000"
"61267E..ZF...","ALGERIA","2006","EMPLOYMENT","THOUSANDS","8869160"
"61267R..ZF...","ALGERIA","2005","UNEMPLOYMENT RATE","PERCENT PER ANNU","15.4"
"61267C..ZF...","ALGERIA","2005","UNEMPLOYMENT","THOUSANDS","1542000"
"61267D..ZF...","ALGERIA","2005","LABOUR FORCE (IN THOUSANDS)","THOUSANDS","10027000"
"61267E..ZF...","ALGERIA","2005","EMPLOYMENT","THOUSANDS","8485000"
"61267R..ZF...","ALGERIA","2004","UNEMPLOYMENT RATE","PERCENT PER ANNU","17.7"
"61267C..ZF...","ALGERIA","2004","UNEMPLOYMENT","THOUSANDS","1734000"
"61267D..ZF...","ALGERIA","2004","LABOUR FORCE (IN THOUSANDS)","THOUSANDS","9780000"
"61267E..ZF...","ALGERIA","2004","EMPLOYMENT","THOUSANDS","8046000"
"61267R..ZF...","ALGERIA","2003","UNEMPLOYMENT RATE","PERCENT PER ANNU","23.72"
"61267C..ZF...","ALGERIA","2003","UNEMPLOYMENT","THOUSANDS","2262000"
"61267D..ZF...","ALGERIA","2003","LABOUR FORCE (IN THOUSANDS)","THOUSANDS","9540000"
"61267E..ZF...","ALGERIA","2003","EMPLOYMENT","THOUSANDS","7278000"
"61267R..ZF...","ALGERIA","2002","UNEMPLOYMENT RATE","PERCENT PER ANNU","25.7"
"61267C..ZF...","ALGERIA","2002","UNEMPLOYMENT","THOUSANDS","2388000"
"61267D..ZF...","ALGERIA","2002","LABOUR FORCE (IN THOUSANDS)","THOUSANDS","9305000"
"61267E..ZF...","ALGERIA","2002","EMPLOYMENT","THOUSANDS","6917000"
"61267R..ZF...","ALGERIA","2001","UNEMPLOYMENT RATE","PERCENT PER ANNU","11.9"
"61267C..ZF...","ALGERIA","2001","UNEMPLOYMENT","THOUSANDS","1080000"
"61267D..ZF...","ALGERIA","2001","LABOUR FORCE (IN THOUSANDS)","THOUSANDS","9075000"
"61267E..ZF...","ALGERIA","2001","EMPLOYMENT","THOUSANDS","7995000"
"61267R..ZF...","ALGERIA","2000","UNEMPLOYMENT RATE","PERCENT PER ANNU","15.2"
"61267C..ZF...","ALGERIA","2000","UNEMPLOYMENT","THOUSANDS","1349000"
"61267D..ZF...","ALGERIA","2000","LABOUR FORCE (IN THOUSANDS)","THOUSANDS","8852000"
"61267E..ZF...","ALGERIA","2000","EMPLOYMENT","THOUSANDS","7503000"
"61267R..ZF...","ALGERIA","1999","UNEMPLOYMENT RATE","PERCENT PER ANNU","29.3"
"61267C..ZF...","ALGERIA","1999","UNEMPLOYMENT","THOUSANDS","2516000"
"61267D..ZF...","ALGERIA","1999","LABOUR FORCE (IN THOUSANDS)","THOUSANDS","8589000"
"61267E..ZF...","ALGERIA","1999","EMPLOYMENT","THOUSANDS","6073000"
"61267R..ZF...","ALGERIA","1998","UNEMPLOYMENT RATE","PERCENT PER ANNU","28"
"61267C..ZF...","ALGERIA","1998","UNEMPLOYMENT","THOUSANDS","2333000"
"61267D..ZF...","ALGERIA","1998","LABOUR FORCE (IN THOUSANDS)","THOUSANDS","8326000"
"61267E..ZF...","ALGERIA","1998","EMPLOYMENT","THOUSANDS","5993000"
"61267R..ZF...","ALGERIA","1997","UNEMPLOYMENT RATE","PERCENT PER ANNU","28"
"61267C..ZF...","ALGERIA","1997","UNEMPLOYMENT","THOUSANDS","2255000"
"61267D..ZF...","ALGERIA","1997","LABOUR FORCE (IN THOUSANDS)","THOUSANDS","8070000"
"61267E..ZF...","ALGERIA","1997","EMPLOYMENT","THOUSANDS","5815000"
"61267R..ZF...","ALGERIA","1996","UNEMPLOYMENT RATE","PERCENT PER ANNU","27.99"
"61267C..ZF...","ALGERIA","1996","UNEMPLOYMENT","THOUSANDS","2185000"
"61267D..ZF...","ALGERIA","1996","LABOUR FORCE (IN THOUSANDS)","THOUSANDS","7810000"
"61267E..ZF...","ALGERIA","1996","EMPLOYMENT","THOUSANDS","5625000"
"61267R..ZF...","ALGERIA","1995","UNEMPLOYMENT RATE","PERCENT PER ANNU","28.1"
"61267C..ZF...","ALGERIA","1995","UNEMPLOYMENT","THOUSANDS","2124000"
"61267D..ZF...","ALGERIA","1995","LABOUR FORCE (IN THOUSANDS)","THOUSANDS","7560000"
"61267E..ZF...","ALGERIA","1995","EMPLOYMENT","THOUSANDS","5436000"
"61267R..ZF...","ALGERIA","1994","UNEMPLOYMENT RATE","PERCENT PER ANNU","24.36"
"61267C..ZF...","ALGERIA","1994","UNEMPLOYMENT","THOUSANDS","1656000"
"61267D..ZF...","ALGERIA","1994","LABOUR FORCE (IN THOUSANDS)","THOUSANDS","6810000"
"61267E..ZF...","ALGERIA","1994","EMPLOYMENT","THOUSANDS","5154000"
"61267R..ZF...","ALGERIA","1993","UNEMPLOYMENT RATE","PERCENT PER ANNU","23.15"
"61267C..ZF...","ALGERIA","1993","UNEMPLOYMENT","THOUSANDS","1518000"
"61267D..ZF...","ALGERIA","1993","LABOUR FORCE (IN THOUSANDS)","THOUSANDS","6560000"
"61267E..ZF...","ALGERIA","1993","EMPLOYMENT","THOUSANDS","5042000"
"61267R..ZF...","ALGERIA","1992","UNEMPLOYMENT RATE","PERCENT PER ANNU","27"
"61267C..ZF...","ALGERIA","1992","UNEMPLOYMENT","THOUSANDS","1350000"
"61267D..ZF...","ALGERIA","1992","LABOUR FORCE (IN THOUSANDS)","THOUSANDS","6222000"
"61267E..ZF...","ALGERIA","1992","EMPLOYMENT","THOUSANDS","4968000"
"61267R..ZF...","ALGERIA","1991","UNEMPLOYMENT RATE","PERCENT PER ANNU","25"
"61267C..ZF...","ALGERIA","1991","UNEMPLOYMENT","THOUSANDS","1233000"
"61267E..ZF...","ALGERIA","1991","EMPLOYMENT","THOUSANDS","4852000"
"61267R..ZF...","ALGERIA","1990","UNEMPLOYMENT RATE","PERCENT PER ANNU","25"
"61267C..ZF...","ALGERIA","1990","UNEMPLOYMENT","THOUSANDS","1156000"
"61267E..ZF...","ALGERIA","1990","EMPLOYMENT","THOUSANDS","4695000"
"61267R..ZF...","ALGERIA","1989","UNEMPLOYMENT RATE","PERCENT PER ANNU","22"
"61267C..ZF...","ALGERIA","1989","UNEMPLOYMENT","THOUSANDS","1010000"
"61267E..ZF...","ALGERIA","1989","EMPLOYMENT","THOUSANDS","4570000"
"61267E..ZF...","ALGERIA","1985","EMPLOYMENT","THOUSANDS","3884000"
"21367R..ZF...","ARGENTINA","2008","UNEMPLOYMENT RATE","PERCENT PER ANNU","7.875"
"21367C..ZF...","ARGENTINA","2008","UNEMPLOYMENT","THOUSANDS","883000"
"21367D..ZF...","ARGENTINA","2008","LABOUR FORCE","THOUSANDS","11186800"
"21367E..ZF...","ARGENTINA","2008","EMPLOYMENT","THOUSANDS","10304000"
"21367R..ZF...","ARGENTINA","2007","UNEMPLOYMENT RATE","PERCENT PER ANNU","8.475"
"21367C..ZF...","ARGENTINA","2007","UNEMPLOYMENT","THOUSANDS","941750"
"21367D..ZF...","ARGENTINA","2007","LABOUR FORCE","THOUSANDS","11095700"
"21367E..ZF...","ARGENTINA","2007","EMPLOYMENT","THOUSANDS","10161200"
"21367R..ZF...","ARGENTINA","2006","UNEMPLOYMENT RATE","PERCENT PER ANNU","10.175"
"21367C..ZF...","ARGENTINA","2006","UNEMPLOYMENT","THOUSANDS","1118500"
"21367D..ZF...","ARGENTINA","2006","LABOUR FORCE","THOUSANDS","10993500"
"21367E..ZF...","ARGENTINA","2006","EMPLOYMENT","THOUSANDS","9874250"
"21367R..ZF...","ARGENTINA","2005","UNEMPLOYMENT RATE","PERCENT PER ANNU","11.575"
"21367C..ZF...","ARGENTINA","2005","UNEMPLOYMENT","THOUSANDS","1233500"
"21367D..ZF...","ARGENTINA","2005","LABOUR FORCE","THOUSANDS","10677700"
"21367E..ZF...","ARGENTINA","2005","EMPLOYMENT","THOUSANDS","9444250"
"21367R..ZF...","ARGENTINA","2004","UNEMPLOYMENT RATE","PERCENT PER ANNU","13.625"
"21367C..ZF...","ARGENTINA","2004","UNEMPLOYMENT","THOUSANDS","1459250"
"21367D..ZF...","ARGENTINA","2004","LABOUR FORCE","THOUSANDS","10724000"
"21367E..ZF...","ARGENTINA","2004","EMPLOYMENT","THOUSANDS","9264500"
"21367R..ZF...","ARGENTINA","2003","UNEMPLOYMENT RATE","PERCENT PER ANNU","16.82"
"21367C..ZF...","ARGENTINA","2003","UNEMPLOYMENT","THOUSANDS","2519250"
"21367D..ZF...","ARGENTINA","2003","LABOUR FORCE","THOUSANDS","14989000"
"21367E..ZF...","ARGENTINA","2003","EMPLOYMENT","THOUSANDS","12469500"
"21367R..ZF...","ARGENTINA","2002","UNEMPLOYMENT RATE","PERCENT PER ANNU","17.5"
"21367C..ZF...","ARGENTINA","2002","UNEMPLOYMENT","THOUSANDS","2509000"
"21367D..ZF...","ARGENTINA","2002","LABOUR FORCE","THOUSANDS","14336000"
"21367E..ZF...","ARGENTINA","2002","EMPLOYMENT","THOUSANDS","11827000"
"21367R..ZF...","ARGENTINA","2001","UNEMPLOYMENT RATE","PERCENT PER ANNU","18.06"
"21367C..ZF...","ARGENTINA","2001","UNEMPLOYMENT","THOUSANDS","2513000"
"21367D..ZF...","ARGENTINA","2001","LABOUR FORCE","THOUSANDS","13914000"
"21367E..ZF...","ARGENTINA","2001","EMPLOYMENT","THOUSANDS","11401000"
"21367R..ZF...","ARGENTINA","2000","UNEMPLOYMENT RATE","PERCENT PER ANNU","14.65"
"21367C..ZF...","ARGENTINA","2000","UNEMPLOYMENT","THOUSANDS","2019000"
"21367D..ZF...","ARGENTINA","2000","LABOUR FORCE","THOUSANDS","13780000"
"21367E..ZF...","ARGENTINA","2000","EMPLOYMENT","THOUSANDS","11760000"
"21367R..ZF...","ARGENTINA","1999","UNEMPLOYMENT RATE","PERCENT PER ANNU","13.48"
"21367C..ZF...","ARGENTINA","1999","UNEMPLOYMENT","THOUSANDS","1814000"
"21367D..ZF...","ARGENTINA","1999","LABOUR FORCE","THOUSANDS","13455000"
"21367E..ZF...","ARGENTINA","1999","EMPLOYMENT","THOUSANDS","11641000"
"21367R..ZF...","ARGENTINA","1998","UNEMPLOYMENT RATE","PERCENT PER ANNU","12.1"
"21367C..ZF...","ARGENTINA","1998","UNEMPLOYMENT","THOUSANDS","1582000"
"21367D..ZF...","ARGENTINA","1998","LABOUR FORCE","THOUSANDS","13077000"
"21367E..ZF...","ARGENTINA","1998","EMPLOYMENT","THOUSANDS","11495000"
"21367R..ZF...","ARGENTINA","1997","UNEMPLOYMENT RATE","PERCENT PER ANNU","13.41"
"21367C..ZF...","ARGENTINA","1997","UNEMPLOYMENT","THOUSANDS","1740000"
"21367D..ZF...","ARGENTINA","1997","LABOUR FORCE","THOUSANDS","12971000"
"21367E..ZF...","ARGENTINA","1997","EMPLOYMENT","THOUSANDS","11231000"
"21367R..ZF...","ARGENTINA","1996","UNEMPLOYMENT RATE","PERCENT PER ANNU","16.56"
"21367C..ZF...","ARGENTINA","1996","UNEMPLOYMENT","THOUSANDS","2074000"
"21367D..ZF...","ARGENTINA","1996","LABOUR FORCE","THOUSANDS","12526000"
"21367E..ZF...","ARGENTINA","1996","EMPLOYMENT","THOUSANDS","10453000"
"21367R..ZF...","ARGENTINA","1995","UNEMPLOYMENT RATE","PERCENT PER ANNU","16"
"21367C..ZF...","ARGENTINA","1995","UNEMPLOYMENT","THOUSANDS","2006000"
"21367D..ZF...","ARGENTINA","1995","LABOUR FORCE","THOUSANDS","12306000"
"21367E..ZF...","ARGENTINA","1995","EMPLOYMENT","THOUSANDS","10301000"
"21367R..ZF...","ARGENTINA","1994","UNEMPLOYMENT RATE","PERCENT PER ANNU","12"
"21367C..ZF...","ARGENTINA","1994","UNEMPLOYMENT","THOUSANDS","1402000"
"21367D..ZF...","ARGENTINA","1994","LABOUR FORCE","THOUSANDS","11923000"
"21367E..ZF...","ARGENTINA","1994","EMPLOYMENT","THOUSANDS","10520000"
"21367R..ZF...","ARGENTINA","1993","UNEMPLOYMENT RATE","PERCENT PER ANNU","9"
"21367C..ZF...","ARGENTINA","1993","UNEMPLOYMENT","THOUSANDS","1066000"
"21367D..ZF...","ARGENTINA","1993","LABOUR FORCE","THOUSANDS","11741000"
"21367E..ZF...","ARGENTINA","1993","EMPLOYMENT","THOUSANDS","10675000"
"21367R..ZF...","ARGENTINA","1992","UNEMPLOYMENT RATE","PERCENT PER ANNU","7"
"21367C..ZF...","ARGENTINA","1992","UNEMPLOYMENT","THOUSANDS","828000"
"21367D..ZF...","ARGENTINA","1992","LABOUR FORCE","THOUSANDS","11462000"
"21367E..ZF...","ARGENTINA","1992","EMPLOYMENT","THOUSANDS","10634000"
"21367R..ZF...","ARGENTINA","1991","UNEMPLOYMENT RATE","PERCENT PER ANNU","6"
"21367C..ZF...","ARGENTINA","1991","UNEMPLOYMENT","THOUSANDS","698000"
"21367D..ZF...","ARGENTINA","1991","LABOUR FORCE","THOUSANDS","11078000"
"21367E..ZF...","ARGENTINA","1991","EMPLOYMENT","THOUSANDS","10380000"
"21367R..ZF...","ARGENTINA","1990","UNEMPLOYMENT RATE","PERCENT PER ANNU","9.2"
"21367C..ZF...","ARGENTINA","1990","UNEMPLOYMENT","THOUSANDS","440510"
"21367D..ZF...","ARGENTINA","1990","LABOUR FORCE","THOUSANDS","12091000"
"21367E..ZF...","ARGENTINA","1990","EMPLOYMENT","THOUSANDS","4372800"
"21367R..ZF...","ARGENTINA","1989","UNEMPLOYMENT RATE","PERCENT PER ANNU","7.3"
"21367C..ZF...","ARGENTINA","1989","UNEMPLOYMENT","THOUSANDS","322580"
"21367R..ZF...","ARGENTINA","1988","UNEMPLOYMENT RATE","PERCENT PER ANNU","5.9"
"21367C..ZF...","ARGENTINA","1988","UNEMPLOYMENT","THOUSANDS","251160"
"21367R..ZF...","ARGENTINA","1987","UNEMPLOYMENT RATE","PERCENT PER ANNU","5.3"
"21367C..ZF...","ARGENTINA","1987","UNEMPLOYMENT","THOUSANDS","230470"
"21367R..ZF...","ARGENTINA","1986","UNEMPLOYMENT RATE","PERCENT PER ANNU","4.4"
"21367C..ZF...","ARGENTINA","1986","UNEMPLOYMENT","THOUSANDS","177810"
"21367R..ZF...","ARGENTINA","1985","UNEMPLOYMENT RATE","PERCENT PER ANNU","5.3"
"21367C..ZF...","ARGENTINA","1985","UNEMPLOYMENT","THOUSANDS","216200"
"21367R..ZF...","ARGENTINA","1984","UNEMPLOYMENT RATE","PERCENT PER ANNU","3.8"
"21367C..ZF...","ARGENTINA","1984","UNEMPLOYMENT","THOUSANDS","152100"
"91167R..ZF...","ARMENIA","2009","UNEMPLOYMENT RATE","PERCENT PER ANNU","6.81667"
"91167C..ZF...","ARMENIA","2009","UNEMPLOYMENT (IN THOUSANDS)","THOUSANDS","80587.5"
"91167E..ZF...","ARMENIA","2009","EMPLOYMENT (IN THOUSANDS)","THOUSANDS","1103750"
"91167R..ZF...","ARMENIA","2008","UNEMPLOYMENT RATE","PERCENT PER ANNU","6.27"
"91167C..ZF...","ARMENIA","2008","UNEMPLOYMENT (IN THOUSANDS)","THOUSANDS","74950"
"91167E..ZF...","ARMENIA","2008","EMPLOYMENT (IN THOUSANDS)","THOUSANDS","1121140"
"91167R..ZF...","ARMENIA","2007","UNEMPLOYMENT RATE","PERCENT PER ANNU","6.99"
"91167C..ZF...","ARMENIA","2007","UNEMPLOYMENT (IN THOUSANDS)","THOUSANDS","82760"
"91167E..ZF...","ARMENIA","2007","EMPLOYMENT (IN THOUSANDS)","THOUSANDS","1101460"
"91167R..ZF...","ARMENIA","2006","UNEMPLOYMENT RATE","PERCENT PER ANNU","7.53"
"91167C..ZF...","ARMENIA","2006","UNEMPLOYMENT (IN THOUSANDS)","THOUSANDS","88910"
"91167E..ZF...","ARMENIA","2006","EMPLOYMENT (IN THOUSANDS)","THOUSANDS","1092350"
"91167R..ZF...","ARMENIA","2005","UNEMPLOYMENT RATE","PERCENT PER ANNU","8.2"
"91167C..ZF...","ARMENIA","2005","UNEMPLOYMENT (IN THOUSANDS)","THOUSANDS","98000"
"91167E..ZF...","ARMENIA","2005","EMPLOYMENT (IN THOUSANDS)","THOUSANDS","1097830"
"91167R..ZF...","ARMENIA","2004","UNEMPLOYMENT RATE","PERCENT PER ANNU","9.6"
"91167C..ZF...","ARMENIA","2004","UNEMPLOYMENT (IN THOUSANDS)","THOUSANDS","114800"
"91167E..ZF...","ARMENIA","2004","EMPLOYMENT (IN THOUSANDS)","THOUSANDS","1081700"
"91167R..ZF...","ARMENIA","2003","UNEMPLOYMENT RATE","PERCENT PER ANNU","10.1"
"91167C..ZF...","ARMENIA","2003","UNEMPLOYMENT (IN THOUSANDS)","THOUSANDS","124800"
"91167E..ZF...","ARMENIA","2003","EMPLOYMENT (IN THOUSANDS)","THOUSANDS","1107600"
"91167R..ZF...","ARMENIA","2002","UNEMPLOYMENT RATE","PERCENT PER ANNU","10.8"
