"Country or Area","Subgroup","Year","Source","Unit","Value","Value Footnotes"
"Albania","Female 0-14 yr","1995","UNPD_World Population Prospects_2006 (International estimate)","Number","498544",""
"Albania","Female 0-14 yr","1990","UNPD_World Population Prospects_2006 (International estimate)","Number","518403",""
"Albania","Female 0-14 yr","1985","UNPD_World Population Prospects_2006 (International estimate)","Number","491339",""
"Albania","Female 0-17 yr","2005","UNPD_World Population Prospects_2006 (International estimate)","Number","497882",""
"Albania","Female 0-17 yr","2000","UNPD_World Population Prospects_2006 (International estimate)","Number","559972",""
"Albania","Female 0-17 yr","1995","UNPD_World Population Prospects_2006 (International estimate)","Number","585745",""
"Albania","Female 0-17 yr","1990","UNPD_World Population Prospects_2006 (International estimate)","Number","613734",""
"Albania","Female 0-17 yr","1985","UNPD_World Population Prospects_2006 (International estimate)","Number","579340",""
"Albania","Female 15-24 yr","2005","UNPD_World Population Prospects_2006 (International estimate)","Number","293109",""
"Albania","Female 15-24 yr","2000","UNPD_World Population Prospects_2006 (International estimate)","Number","273045",""
"Albania","Female 15-24 yr","1995","UNPD_World Population Prospects_2006 (International estimate)","Number","275987",""
"Albania","Female 15-24 yr","1990","UNPD_World Population Prospects_2006 (International estimate)","Number","311008",""
"Albania","Female 15-24 yr","1985","UNPD_World Population Prospects_2006 (International estimate)","Number","288400",""
"Albania","Female 15-64 yr","2005","UNPD_World Population Prospects_2006 (International estimate)","Number","1040076",""
"Albania","Female 15-64 yr","2000","UNPD_World Population Prospects_2006 (International estimate)","Number","952695",""
"Albania","Female 15-64 yr","1995","UNPD_World Population Prospects_2006 (International estimate)","Number","953329",""
"Albania","Female 15-64 yr","1990","UNPD_World Population Prospects_2006 (International estimate)","Number","984516",""
"Albania","Female 15-64 yr","1985","UNPD_World Population Prospects_2006 (International estimate)","Number","857302",""
"Albania","Female 65+ yr","2005","UNPD_World Population Prospects_2006 (International estimate)","Number","140266",""
"Albania","Female 65+ yr","2000","UNPD_World Population Prospects_2006 (International estimate)","Number","123241",""
"Albania","Female 65+ yr","1995","UNPD_World Population Prospects_2006 (International estimate)","Number","109891",""
"Albania","Female 65+ yr","1990","UNPD_World Population Prospects_2006 (International estimate)","Number","99510",""
"Albania","Female 65+ yr","1985","UNPD_World Population Prospects_2006 (International estimate)","Number","83829",""
"Albania","Male 0-14 yr","2005","UNPD_World Population Prospects_2006 (International estimate)","Number","426429",""
"Albania","Male 0-14 yr","2000","UNPD_World Population Prospects_2006 (International estimate)","Number","498496",""
"Albania","Male 0-14 yr","1995","UNPD_World Population Prospects_2006 (International estimate)","Number","526762",""
"Albania","Male 0-14 yr","1990","UNPD_World Population Prospects_2006 (International estimate)","Number","559764",""
"Albania","Male 0-14 yr","1985","UNPD_World Population Prospects_2006 (International estimate)","Number","529150",""
