Country or Area,GENDER,Life Expectancy,Per Capita Expenditure
Maldives,Female,75,422
Mali,Male,47,67
Mali,Female,50,67
Malta,Male,78,4223
Malta,Female,82,4223
Marshall Islands,Male,57,520
Marshall Islands,Female,59,520
Mauritania,Male,56,41
Mauritania,Female,61,41
Mauritius,Male,70,488
Mauritius,Female,76,488
Mexico,Male,73,778
Mexico,Female,78,778
Micronesia (Federated States of),Male,68,375
Micronesia (Federated States of),Female,70,375
Monaco,Male,78,5585
Monaco,Female,85,5585
Mongolia,Male,60,164
Mongolia,Female,69,164
Montenegro,Male,72,718
Montenegro,Female,76,718
Morocco,Male,70,207
Morocco,Female,75,207
Mozambique,Male,47,36
Mozambique,Female,48,36
Myanmar,Male,53,24
Myanmar,Female,59,24
Namibia,Male,58,421
Namibia,Female,61,421
Nauru,Male,59,1214
Nauru,Female,64,1214
Nepal,Male,62,52
Nepal,Female,63,52
Netherlands,Male,78,3481
Netherlands,Female,82,3481
New Zealand,Male,78,2448
New Zealand,Female,83,2448
Nicaragua,Male,70,235
Nicaragua,Female,76,235
Niger,Male,50,38
Niger,Female,53,38
Nigeria,Male,48,59
Nigeria,Female,50,59
Niue,Male,63,1261
Niue,Female,78,1261
Norway,Male,78,4519
Norway,Female,83,4519
Oman,Male,71,526
Oman,Female,77,526
Pakistan,Male,63,47
Pakistan,Female,64,47
Palau,Male,69,1402
Palau,Female,76,1402
Panama,Male,74,738
Panama,Female,79,738
Papua New Guinea,Male,61,62
Papua New Guinea,Female,64,62
Paraguay,Male,71,312
Paraguay,Female,77,312
Peru,Male,75,316
Peru,Female,77,316
Philippines,Male,67,120
Philippines,Female,74,120
Poland,Male,71,919
Poland,Female,80,919
Portugal,Male,76,2199
Portugal,Female,82,2199
Qatar,Male,76,2199
Qatar,Female,76,2199
Republic of Korea,Male,76,1467
Republic of Korea,Female,82,1467
Republic of Moldova,Male,65,242
Republic of Moldova,Female,73,242
Romania,Male,70,472
Romania,Female,77,472
Russian Federation,Male,60,698
Russian Federation,Female,73,698
Rwanda,Male,49,89
Rwanda,Female,51,89
Saint Kitts and Nevis,Male,69,768
Saint Kitts and Nevis,Female,76,768
Saint Lucia,Male,72,594
Saint Lucia,Female,78,594
Saint Vincent and the Grenadines,Male,66,393
Saint Vincent and the Grenadines,Female,75,393
Samoa,Male,66,193
Samoa,Female,70,193
San Marino,Male,81,3238
San Marino,Female,84,3238
Sao Tome and Principe,Male,59,95
Sao Tome and Principe,Female,63,95
Saudi Arabia,Male,69,720
Saudi Arabia,Female,74,720
Senegal,Male,57,92
Senegal,Female,61,92
Serbia,Male,71,773
Serbia,Female,76,773
Seychelles,Male,68,931
Seychelles,Female,75,931
Sierra Leone,Male,39,29
Sierra Leone,Female,43,29
Singapore,Male,78,1536
Singapore,Female,83,1536
Slovakia,Male,71,1279
Slovakia,Female,78,1279
Slovenia,Male,75,2063
Slovenia,Female,81,2063
Solomon Islands,Male,66,100
Solomon Islands,Female,68,100
Somalia,Male,50,100
Somalia,Female,55,100
South Africa,Male,52,715
South Africa,Female,55,715
Spain,Male,78,2466
Spain,Female,84,2466
Sri Lanka,Male,68,171
Sri Lanka,Female,75,171
Sudan,Male,57,72
Sudan,Female,58,72
Suriname,Male,66,391
Suriname,Female,73,391
Swaziland,Male,47,300
Swaziland,Female,49,300
Sweden,Male,79,3162
Sweden,Female,83,3162
Switzerland,Male,79,4179
Switzerland,Female,84,4179
Syrian Arab Republic,Male,70,164
Syrian Arab Republic,Female,75,164
Tajikistan,Male,66,81
Tajikistan,Female,68,81
Thailand,Male,66,264
Thailand,Female,74,264
The former Yugoslav Republic of Macedonia,Male,72,630
The former Yugoslav Republic of Macedonia,Female,76,630
Timor-Leste,Male,58,109
Timor-Leste,Female,64,109
Togo,Male,56,46
Togo,Female,61,46
Tonga,Male,71,181
Tonga,Female,69,181
Trinidad and Tobago,Male,66,181
Trinidad and Tobago,Female,73,181
Tunisia,Male,72,355
Tunisia,Female,76,355
Turkey,Male,71,584
Turkey,Female,76,584
Turkmenistan,Male,60,584
Turkmenistan,Female,67,584
Tuvalu,Male,64,434
Tuvalu,Female,65,434
Uganda,Male,46,71
Uganda,Female,51,71
Ukraine,Male,62,433
Ukraine,Female,73,433
United Arab Emirates,Male,77,1409
United Arab Emirates,Female,80,1409
United Kingdom,Male,77,2815
United Kingdom,Female,82,2815
United Republic of Tanzania,Male,51,72
United Republic of Tanzania,Female,52,72
United States of America,Male,76,6719
United States of America,Female,81,6719
Uruguay,Male,72,833
Uruguay,Female,79,833
Uzbekistan,Male,65,102
Uzbekistan,Female,71,102
Vanuatu,Male,67,125
Vanuatu,Female,70,125
Venezuela (Bolivarian Republic of),Male,72,540
Venezuela (Bolivarian Republic of),Female,78,540
Viet Nam,Male,70,151
Viet Nam,Female,75,151
Yemen,Male,62,102
Yemen,Female,66,102
Zambia,Male,45,79
Zambia,Female,47,79
Zimbabwe,Male,45,79
Zimbabwe,Female,44,79
