Title,Ranking,Genre,Actors,Runtime
Planet Earth,9.5,Documentary,"David Attenborough, Sigourney Weaver, Huw Cordey",4
The Wire,9.4,"Crime, Drama, Thriller","Dominic West, John Doman, Deirdre Lovejoy",6
Game of Thrones,9.4,"Adventure, Drama, Fantasy","Lena Headey, Peter Dinklage, Maisie Williams",6
Breaking Bad,9.4,"Crime, Drama, Thriller","Bryan Cranston, Anna Gunn, Aaron Paul",4
The Sopranos,9.2,"Crime, Drama","James Gandolfini, Lorraine Bracco, Edie Falco",5
Sherlock,9.2,"Crime, Drama, Mystery","Benedict Cumberbatch, Martin Freeman, Una Stubbs",9
Leyla ile Mecnun,9.1,"Adventure, Comedy, Drama, Fantasy, Mystery, Romance","Ali Atay, Serkan Keskin, Cengiz Bozkurt",8
Dexter,9.1,"Crime, Drama, Mystery, Thriller","Michael C. Hall, Jennifer Carpenter, David Zayas",6
Avatar: The Last Airbender,9.0,"Animation, Action, Adventure, Family, Fantasy","Zach Tyler, Mae Whitman, Jack De Sena",3
The Legend of Korra,8.9,"Animation, Action, Adventure, Drama, Fantasy","Janet Varney, Dee Bradley Baker, David Faustino",2
South Park,8.9,"Animation, Comedy","Trey Parker, Matt Stone, Isaac Hayes",3
Deadwood,8.9,"Crime, Drama, History, Western","Timothy Olyphant, Ian McShane, Molly Parker",6
Suits,8.9,"Comedy, Drama","Gabriel Macht, Patrick J. Adams, Meghan Markle",4
Friends,8.9,"Comedy, Romance","Jennifer Aniston, Courteney Cox, Lisa Kudrow",2
Top Gear,8.9,"Comedy, Talk-Show","Richard Hammond, Jeremy Clarkson, James May",6
Archer,8.9,"Animation, Action, Comedy","H. Jon Benjamin, Judy Greer, Amber Nash",3
The Office,8.8,"Comedy, Romance","Rainn Wilson, Jenna Fischer, Leslie David Baker",2
The Venture Bros.,8.8,"Animation, Action, Adventure, Comedy, Sci-Fi","Christopher McCulloch, James Urbaniak, Michael Sinterniklaas",2
Fullmetal Alchemist,8.8,"Animation, Comedy, Drama, Fantasy, Horror, Mystery, Sci-Fi","Aaron Dismuke, Vic Mignogna, Romi Pak",3
The X-Files,8.8,"Drama, Mystery, Sci-Fi, Thriller","David Duchovny, Gillian Anderson, Mitch Pileggi",4
