Movie Title,Time,Genre,Directors,Writers,Actors,Rating,Number of Ratings
Kill Bill: Vol. 1,111,Action;Crime;Thriller,Quentin Tarantino,Quentin Tarantino;Quentin Tarantino,Uma Thurman;David Carradine;Daryl Hannah,8.2,"409,123"
Warrior,140,Drama;Sport,Gavin O'Connor,Gavin O'Connor;Anthony Tambakis,Tom Hardy;Nick Nolte;Joel Edgerton,8.2,"152,908"
The Hobbit: An Unexpected Journey,169,Adventure;Fantasy,Peter Jackson,Fran Walsh;Philippa Boyens,Martin Freeman;Ian McKellen;Richard Armitage,8.3,"223,419"
Annie Hall,93,Comedy;Drama;Romance,Woody Allen,Woody Allen;Marshall Brickman,Woody Allen;Diane Keaton;Tony Roberts,8.2,"109,851"
Good Will Hunting,126,Drama,Gus Van Sant,Matt Damon;Ben Affleck,Robin Williams;Matt Damon;Ben Affleck,8.2,"301,523"
The Secret in Their Eyes,129,Drama;Mystery;Thriller,Juan Jos Campanella,Eduardo Sacheri;Juan Jos Campanella,Ricardo Darn;Soledad Villamil;Pablo Rago,8.2,"61,403"
Gone with the Wind,238,Drama;Romance;War,Victor Fleming,Margaret Mitchell;Sidney Howard,Clark Gable;Vivien Leigh;Thomas Mitchell,8.2,"130,177"
Notorious,101,Drama;Romance;Thriller,Alfred Hitchcock,Ben Hecht,Cary Grant;Ingrid Bergman;Claude Rains,8.2,"46,300"
The Grapes of Wrath,129,Drama,John Ford,Nunnally Johnson;John Steinbeck,Henry Fonda;Jane Darwell;John Carradine,8.2,"36,805"
Into the Wild,148,Adventure;Biography;Drama,Sean Penn,Sean Penn;Jon Krakauer,Emile Hirsch;Vince Vaughn;Catherine Keener,8.2,"218,992"
The King's Speech,118,Biography;Drama;History,Tom Hooper,David Seidler,Colin Firth;Geoffrey Rush;Helena Bonham Carter,8.2,"237,192"
Life of Brian,94,Comedy,Terry Jones,Graham Chapman;John Cleese,Graham Chapman;John Cleese;Michael Palin,8.2,"159,962"
V for Vendetta,132,Action;Fantasy;Thriller,James McTeigue,Andy Wachowski;Lana Wachowski,Hugo Weaving;Natalie Portman;Rupert Graves,8.2,"434,292"
Finding Nemo,100,Animation;Adventure;Comedy,Andrew Stanton;Lee Unkrich,Andrew Stanton;Andrew Stanton,Albert Brooks;Ellen DeGeneres;Alexander Gould,8.1,"341,785"
My Neighbor Totoro,86,Animation;Family;Fantasy,Hayao Miyazaki,Hayao Miyazaki,Hitoshi Takagi;Noriko Hidaka;Toshiyuki Amagasa,8.2,"71,663"
How to Train Your Dragon,98,Animation;Adventure;Comedy,Dean DeBlois;Chris Sanders,William Davies;Dean DeBlois,Jay Baruchel;Gerard Butler;Christopher Mintz-Plasse,8.2,"199,242"
Dial M for Murder,105,Crime;Mystery;Thriller,Alfred Hitchcock,Frederick Knott;Frederick Knott,Ray Milland;Grace Kelly;Robert Cummings,8.2,"55,583"
The Big Sleep,114,Crime;Film-Noir;Mystery,Howard Hawks,William Faulkner;Leigh Brackett,Humphrey Bogart;Lauren Bacall;John Ridgely,8.2,"41,811"
Network,121,Drama,Sidney Lumet,Paddy Chayefsky,Faye Dunaway;William Holden;Peter Finch,8.2,"60,476"
Ben-Hur,212,Action;Adventure;Drama,William Wyler,Lew Wallace;Karl Tunberg,Charlton Heston;Jack Hawkins;Stephen Boyd,8.1,"93,154"
The Terminator,107,Action;Sci-Fi,James Cameron,James Cameron;Gale Anne Hurd,Arnold Schwarzenegger;Linda Hamilton;Michael Biehn,8.1,"326,587"
There Will Be Blood,158,Drama,Paul Thomas Anderson,Paul Thomas Anderson;Upton Sinclair,Daniel Day-Lewis;Paul Dano;Ciarn Hinds,8.1,"218,964"
Million Dollar Baby,132,Drama;Sport,Clint Eastwood,Paul Haggis;F.X. Toole,Hilary Swank;Clint Eastwood;Morgan Freeman,8.1,"260,902"
The Night of the Hunter,93,Drama;Film-Noir;Thriller,Charles Laughton,Davis Grubb;James Agee,Robert Mitchum;Shelley Winters;Lillian Gish,8.2,"39,254"
Stand by Me,89,Adventure;Drama,Rob Reiner,Stephen King;Raynold Gideon,Wil Wheaton;River Phoenix;Corey Feldman,8.1,"156,053"
Donnie Darko,113,Drama;Mystery;Sci-Fi,Richard Kelly,Richard Kelly,Jake Gyllenhaal;Jena Malone;Mary McDonnell,8.1,"350,871"
Groundhog Day,101,Comedy;Drama;Fantasy,Harold Ramis,Danny Rubin;Harold Ramis,Bill Murray;Andie MacDowell;Chris Elliott,8.1,"245,064"
Black Swan,108,Drama;Mystery;Thriller,Darren Aronofsky,Mark Heyman;Andres Heinz,Natalie Portman;Mila Kunis;Vincent Cassel,8.1,"314,450"
Dog Day Afternoon,125,Crime;Drama,Sidney Lumet,P.F. Kluge;Thomas Moore,Al Pacino;John Cazale;Penelope Allen,8.1,"108,985"
Twelve Monkeys,129,Mystery;Sci-Fi;Thriller,Terry Gilliam,Chris Marker;David Webb Peoples,Bruce Willis;Madeleine Stowe;Brad Pitt,8.1,"276,330"
