ZipCode,City,State,Latitude,Longitude,RepubTotal,DemTotal,PerCapita
3243,HILL,NH,43.52,-71.7,0,0,
3244,HILLSBOROUGH,NH,43.12,-71.92,1451.2,0,
3451,HINSDALE,NH,42.78,-72.48,0,0,
3245,HOLDERNESS,NH,43.73,-71.58,2801.2,10950,
3049,HOLLIS,NH,42.73,-71.58,18896.2,1900,
3106,HOOKSETT,NH,43.09,-71.45,6110,1450,
3051,HUDSON,NH,42.76,-71.43,4950,500,
3845,INTERVALE,NH,44.15,-71.06,1250,0,
3846,JACKSON,NH,44.14,-71.18,3500,500,
3452,JAFFREY,NH,42.81,-72.02,5500,1350,
3583,JEFFERSON,NH,44.41,-71.47,0,2500,
3847,KEARSARGE,NH,44.06,-71.06,300,250,
3431,KEENE,NH,42.95,-72.29,7602.4,3500,
3435,KEENE,NH,42.95,-72.29,0,0,
3848,KINGSTON,NH,42.93,-71.05,2500,0,
3246,LACONIA,NH,43.56,-71.48,850,312,
3247,LACONIA,NH,43.56,-71.48,1500,0,
3584,LANCASTER,NH,44.48,-71.56,2500,250,
3756,LEBANON,NH,43.63,-72.25,0,0,
3766,LEBANON,NH,43.63,-72.25,8852.4,5710,
3861,LEE,NH,43.1,-71.01,201.2,750,
3605,LEMPSTER,NH,43.23,-72.21,0,0,
3251,LINCOLN,NH,44.04,-71.67,750,0,
3585,LISBON,NH,44.21,-71.9,0,0,
3052,LITCHFIELD,NH,42.83,-71.46,750,225,
3561,LITTLETON,NH,44.31,-71.76,4401.2,0,
3252,LOCHMERE,NH,43.47,-71.56,0,0,
3053,LONDONDERRY,NH,42.85,-71.36,5500,5000,
3307,LOUDON,NH,43.28,-71.46,3603.6,1000,
3768,LYME,NH,43.8,-72.15,5951.2,17242,
3769,LYME CENTER,NH,43.83,-72.1,0,300,
3082,LYNDEBOROUGH,NH,42.9,-71.75,250,0,
3823,MADBURY,NH,43.17,-70.93,0,0,
3849,MADISON,NH,43.89,-71.14,4250,200,
3101,MANCHESTER,NH,42.99,-71.45,1250,250,
3102,MANCHESTER,NH,42.99,-71.45,2353.6,200,
3103,MANCHESTER,NH,42.99,-71.45,4152.9,0,
3104,MANCHESTER,NH,42.99,-71.45,12320,8060,
3105,MANCHESTER,NH,42.99,-71.45,0,0,
3107,MANCHESTER,NH,42.99,-71.45,0,0,
3108,MANCHESTER,NH,42.99,-71.45,3550,0,
3109,MANCHESTER,NH,42.99,-71.45,490,200,
3111,MANCHESTER,NH,42.99,-71.45,0,0,
3455,MARLBOROUGH,NH,42.9,-72.21,4000,1000,
3456,MARLOW,NH,43.11,-72.2,0,0,
3850,MELVIN VILLAGE,NH,43.69,-71.28,4250,0,
3253,MEREDITH,NH,43.65,-71.5,5902.4,900,
3770,MERIDEN,NH,43.52,-72.27,0,1175,
3054,MERRIMACK,NH,42.86,-71.48,10706.62,250,
3588,MILAN,NH,44.57,-71.18,0,0,
3055,MILFORD,NH,42.83,-71.66,4853.6,676,
3851,MILTON,NH,43.4,-70.98,1103.6,500,
3852,MILTON MILLS,NH,43.5,-70.97,500,0,
3853,MIRROR LAKE,NH,43.63,-71.28,7000,212,
3771,MONROE,NH,44.28,-72.01,0,0,
3057,MONT VERNON,NH,42.9,-71.66,500,0,
3254,MOULTONBOROUGH,NH,43.75,-71.39,3500,500,
3589,MOUNT WASHINGTON,NH,44.27,-71.3,0,0,
3060,NASHUA,NH,42.74,-71.49,11116.2,300,
3061,NASHUA,NH,42.74,-71.49,250,500,
3062,NASHUA,NH,42.74,-71.49,20901.2,1800,
3063,NASHUA,NH,42.74,-71.49,6501.2,500,
3064,NASHUA,NH,42.74,-71.49,3000,500,
3457,NELSON,NH,42.99,-72.12,250,250,
3070,NEW BOSTON,NH,42.96,-71.68,8201.2,500,
3854,NEW CASTLE,NH,43.05,-70.72,10900,750,
3855,NEW DURHAM,NH,43.43,-71.17,0,0,
3256,NEW HAMPTON,NH,43.6,-71.65,0,1276,
3071,NEW IPSWICH,NH,42.75,-71.85,2852.4,0,
3257,NEW LONDON,NH,43.41,-71.98,7850,10000,
3255,NEWBURY,NH,43.32,-72.03,3250,700,
3856,NEWFIELDS,NH,43.03,-70.93,0,0,
3805,NEWINGTON,NH,43.23,-70.82,0,0,
3857,NEWMARKET,NH,43.07,-70.94,4201.2,5775,
3773,NEWPORT,NH,43.37,-72.17,500,0,
3858,NEWTON,NH,42.86,-71.03,550,355,
3859,NEWTON JUNCTION,NH,42.86,-71.04,0,0,
3860,NORTH CONWAY,NH,44.05,-71.12,2853.6,1000,
3862,NORTH HAMPTON,NH,42.97,-70.83,3950,6875,
3774,NORTH HAVERHILL,NH,44.09,-71.99,1050,0,
3073,NORTH SALEM,NH,42.83,-71.22,0,0,
3259,NORTH SANDWICH,NH,43.86,-71.38,0,500,
3590,NORTH STRATFORD,NH,44.76,-71.58,0,0,
3260,NORTH SUTTON,NH,43.36,-71.94,1500,0,
3609,NORTH WALPOLE,NH,43.14,-72.44,0,0,
3262,NORTH WOODSTOCK,NH,44.01,-71.73,0,0,
3261,NORTHWOOD,NH,43.19,-71.15,750,300,
3290,NOTTINGHAM,NH,43.11,-71.1,5701.2,0,
3777,ORFORD,NH,43.89,-72.06,500,750,
3864,OSSIPEE,NH,43.68,-71.11,250,0,
3076,PELHAM,NH,42.73,-71.31,1000,0,
3458,PETERBOROUGH,NH,42.87,-71.96,8458.15,12750,
3779,PIERMONT,NH,43.96,-72.08,0,250,
3780,PIKE,NH,44,-72,0,0,
3592,PITTSBURG,NH,45.05,-71.39,0,0,
3263,PITTSFIELD,NH,43.3,-71.33,1135,0,
3781,PLAINFIELD,NH,43.53,-72.35,1250,0,
3865,PLAISTOW,NH,42.83,-71.09,1207.2,0,
3264,PLYMOUTH,NH,43.73,-71.69,0,462,
3801,PORTSMOUTH,NH,43.05,-70.78,23451.2,32897,
3802,PORTSMOUTH,NH,43.05,-70.78,5000,5000,
3803,PORTSMOUTH,NH,43.05,-70.78,0,0,
3804,PORTSMOUTH,NH,43.05,-70.78,0,0,
3593,RANDOLPH,NH,44.37,-71.25,500,250,
3077,RAYMOND,NH,43.03,-71.17,0,0,
3461,RINDGE,NH,42.75,-72.01,0,200,
3839,ROCHESTER,NH,43.3,-70.97,250,0,
3866,ROCHESTER,NH,43.3,-70.97,0,0,
3867,ROCHESTER,NH,43.3,-70.97,1152.4,0,
3868,ROCHESTER,NH,43.3,-70.97,975,250,
3869,ROLLINSFORD,NH,43.23,-70.82,850,0,
3266,RUMNEY,NH,43.8,-71.81,5000,0,
3870,RYE,NH,43.01,-70.77,11850,5250,
3871,RYE BEACH,NH,43.01,-70.76,652.4,5000,
3079,SALEM,NH,42.78,-71.2,8458.4,4250,
3268,SALISBURY,NH,43.38,-71.71,0,0,
3269,SANBORNTON,NH,43.48,-71.58,0,0,
3872,SANBORNVILLE,NH,43.56,-71.01,730,550,
3873,SANDOWN,NH,42.92,-71.18,201.2,0,
3874,SEABROOK,NH,42.89,-70.87,1550,500,
3875,SILVER LAKE,NH,43.87,-71.19,750,0,
3878,SOMERSWORTH,NH,43.25,-70.88,250,2900,
3607,SOUTH ACWORTH,NH,43.18,-72.32,0,0,
3272,SOUTH NEWBURY,NH,43.29,-72,0,0,
3273,SOUTH SUTTON,NH,43.31,-71.92,0,0,
3883,SOUTH TAMWORTH,NH,43.83,-71.31,0,250,
3462,SPOFFORD,NH,42.9,-72.4,3500,0,
3284,SPRINGFIELD,NH,43.49,-72.03,0,1000,
3274,STINSON LAKE,NH,43.86,-71.8,0,0,
3464,STODDARD,NH,43.08,-72.1,250,0,
3884,STRAFFORD,NH,43.32,-71.18,0,0,
