City,ZipCode,State,Latitude,Longitude,RepubTotal,DemTotal,PerCapita
HANOVER,3755,NH,43.7,-72.27,26000,37660,26400
HARRISVILLE,3450,NH,42.95,-72.1,421.2,0,40225
HAVERHILL,3765,NH,44.03,-72.06,0,0,21587
HEBRON,3241,NH,43.69,-71.8,0,0,28729
HENNIKER,3242,NH,43.17,-71.81,0,500,23322
HILL,3243,NH,43.52,-71.7,0,0,25426
HILLSBOROUGH,3244,NH,43.12,-71.92,1451.2,0,20473
HINSDALE,3451,NH,42.78,-72.48,0,0,24586
HOLDERNESS,3245,NH,43.73,-71.58,2801.2,10950,30853
HOLLIS,3049,NH,42.73,-71.58,18896.2,1900,49369
HOOKSETT,3106,NH,43.09,-71.45,6110,1450,33959
HUDSON,3051,NH,42.76,-71.43,4950,500,29484
INTERVALE,3845,NH,44.15,-71.06,1250,0,
JACKSON,3846,NH,44.14,-71.18,3500,500,39246
JAFFREY,3452,NH,42.81,-72.02,5500,1350,28342
JEFFERSON,3583,NH,44.41,-71.47,0,2500,32213
KEARSARGE,3847,NH,44.06,-71.06,300,250,
KEENE,3431,NH,42.95,-72.29,7602.4,3500,25631
KEENE,3435,NH,42.95,-72.29,0,0,25631
KINGSTON,3848,NH,42.93,-71.05,2500,0,30549
LACONIA,3246,NH,43.56,-71.48,850,312,27711
LACONIA,3247,NH,43.56,-71.48,1500,0,27711
LANCASTER,3584,NH,44.48,-71.56,2500,250,23340
LEBANON,3756,NH,43.63,-72.25,0,0,32975
LEBANON,3766,NH,43.63,-72.25,8852.4,5710,32975
LEE,3861,NH,43.1,-71.01,201.2,750,40895
LEMPSTER,3605,NH,43.23,-72.21,0,0,24587
LINCOLN,3251,NH,44.04,-71.67,750,0,26668
LISBON,3585,NH,44.21,-71.9,0,0,20872
LITCHFIELD,3052,NH,42.83,-71.46,750,225,36497
LITTLETON,3561,NH,44.31,-71.76,4401.2,0,24562
LOCHMERE,3252,NH,43.47,-71.56,0,0,
LONDONDERRY,3053,NH,42.85,-71.36,5500,5000,37397
LOUDON,3307,NH,43.28,-71.46,3603.6,1000,48804
LYME,3768,NH,43.8,-72.15,5951.2,17242,52138
LYME CENTER,3769,NH,43.83,-72.1,0,300,
LYNDEBOROUGH,3082,NH,42.9,-71.75,250,0,31771
MADBURY,3823,NH,43.17,-70.93,0,0,30100
MADISON,3849,NH,43.89,-71.14,4250,200,31187
MANCHESTER,3101,NH,42.99,-71.45,1250,250,27467
MANCHESTER,3102,NH,42.99,-71.45,2353.6,200,27467
MANCHESTER,3103,NH,42.99,-71.45,4152.9,0,27467
MANCHESTER,3104,NH,42.99,-71.45,12320,8060,27467
MANCHESTER,3105,NH,42.99,-71.45,0,0,27467
MANCHESTER,3107,NH,42.99,-71.45,0,0,27467
MANCHESTER,3108,NH,42.99,-71.45,3550,0,27467
MANCHESTER,3109,NH,42.99,-71.45,490,200,27467
MANCHESTER,3111,NH,42.99,-71.45,0,0,27467
MARLBOROUGH,3455,NH,42.9,-72.21,4000,1000,23294
MARLOW,3456,NH,43.11,-72.2,0,0,23605
MELVIN VILLAGE,3850,NH,43.69,-71.28,4250,0,32154
MEREDITH,3253,NH,43.65,-71.5,5902.4,900,27748
MERIDEN,3770,NH,43.52,-72.27,0,1175,35165
MERRIMACK,3054,NH,42.86,-71.48,10706.62,250,37698
MILAN,3588,NH,44.57,-71.18,0,0,30080
MILFORD,3055,NH,42.83,-71.66,4853.6,676,31866
MILTON,3851,NH,43.4,-70.98,1103.6,500,25917
MILTON MILLS,3852,NH,43.5,-70.97,500,0,21553
MIRROR LAKE,3853,NH,43.63,-71.28,7000,212,
MONROE,3771,NH,44.28,-72.01,0,0,25454
MONT VERNON,3057,NH,42.9,-71.66,500,0,38228
MOULTONBOROUGH,3254,NH,43.75,-71.39,3500,500,44781
MOUNT WASHINGTON,3589,NH,44.27,-71.3,0,0,
NASHUA,3060,NH,42.74,-71.49,11116.2,300,33032
NASHUA,3061,NH,42.74,-71.49,250,500,33032
NASHUA,3062,NH,42.74,-71.49,20901.2,1800,33032
NASHUA,3063,NH,42.74,-71.49,6501.2,500,33032
NASHUA,3064,NH,42.74,-71.49,3000,500,33032
NELSON,3457,NH,42.99,-72.12,250,250,33767
NEW BOSTON,3070,NH,42.96,-71.68,8201.2,500,39322
NEW CASTLE,3854,NH,43.05,-70.72,10900,750,83682
NEW DURHAM,3855,NH,43.43,-71.17,0,0,31361
NEW HAMPTON,3256,NH,43.6,-71.65,0,1276,25376
NEW IPSWICH,3071,NH,42.75,-71.85,2852.4,0,30453
NEW LONDON,3257,NH,43.41,-71.98,7850,10000,19468
NEWBURY,3255,NH,43.32,-72.03,3250,700,37569
NEWFIELDS,3856,NH,43.03,-70.93,0,0,32913
NEWINGTON,3805,NH,43.23,-70.82,0,0,36086
NEWMARKET,3857,NH,43.07,-70.94,4201.2,5775,28515
NEWPORT,3773,NH,43.37,-72.17,500,0,20205
NEWTON,3858,NH,42.86,-71.03,550,355,32027
NEWTON JUNCTION,3859,NH,42.86,-71.04,0,0,
NORTH CONWAY,3860,NH,44.05,-71.12,2853.6,1000,21664
NORTH HAMPTON,3862,NH,42.97,-70.83,3950,6875,48534
NORTH HAVERHILL,3774,NH,44.09,-71.99,1050,0,
NORTH SALEM,3073,NH,42.83,-71.22,0,0,
NORTH SANDWICH,3259,NH,43.86,-71.38,0,500,
NORTH STRATFORD,3590,NH,44.76,-71.58,0,0,
NORTH SUTTON,3260,NH,43.36,-71.94,1500,0,
NORTH WALPOLE,3609,NH,43.14,-72.44,0,0,20546
NORTH WOODSTOCK,3262,NH,44.01,-71.73,0,0,30179
NORTHWOOD,3261,NH,43.19,-71.15,750,300,32300
NOTTINGHAM,3290,NH,43.11,-71.1,5701.2,0,39431
ORFORD,3777,NH,43.89,-72.06,500,750,32707
OSSIPEE,3864,NH,43.68,-71.11,250,0,19413
PELHAM,3076,NH,42.73,-71.31,1000,0,36558
PETERBOROUGH,3458,NH,42.87,-71.96,8458.15,12750,32615
PIERMONT,3779,NH,43.96,-72.08,0,250,35038
PIKE,3780,NH,44,-72,0,0,
PITTSBURG,3592,NH,45.05,-71.39,0,0,27747
PITTSFIELD,3263,NH,43.3,-71.33,1135,0,20069
PLAINFIELD,3781,NH,43.53,-72.35,1250,0,27641
PLAISTOW,3865,NH,42.83,-71.09,1207.2,0,35390
PLYMOUTH,3264,NH,43.73,-71.69,0,462,17025
PORTSMOUTH,3801,NH,43.05,-70.78,23451.2,32897,39344
PORTSMOUTH,3802,NH,43.05,-70.78,5000,5000,39344
PORTSMOUTH,3803,NH,43.05,-70.78,0,0,39344
PORTSMOUTH,3804,NH,43.05,-70.78,0,0,39344
RANDOLPH,3593,NH,44.37,-71.25,500,250,35628
RAYMOND,3077,NH,43.03,-71.17,0,0,29764
RINDGE,3461,NH,42.75,-72.01,0,200,23642
ROCHESTER,3839,NH,43.3,-70.97,250,0,27902
ROCHESTER,3866,NH,43.3,-70.97,0,0,27902
ROCHESTER,3867,NH,43.3,-70.97,1152.4,0,27902
ROCHESTER,3868,NH,43.3,-70.97,975,250,27902
ROLLINSFORD,3869,NH,43.23,-70.82,850,0,35268
RUMNEY,3266,NH,43.8,-71.81,5000,0,26915
RYE,3870,NH,43.01,-70.77,11850,5250,56171
RYE BEACH,3871,NH,43.01,-70.76,652.4,5000,
SALEM,3079,NH,42.78,-71.2,8458.4,4250,34496
SALISBURY,3268,NH,43.38,-71.71,0,0,28551
SANBORNTON,3269,NH,43.48,-71.58,0,0,29919
SANBORNVILLE,3872,NH,43.56,-71.01,730,550,27757
SANDOWN,3873,NH,42.92,-71.18,201.2,0,33208
SEABROOK,3874,NH,42.89,-70.87,1550,500,30218
SILVER LAKE,3875,NH,43.87,-71.19,750,0,
SOMERSWORTH,3878,NH,43.25,-70.88,250,2900,25037
SOUTH ACWORTH,3607,NH,43.18,-72.32,0,0,
